turn,heading,epfd,hour,imo,to_bow,course,to_stern,status,callsign,month,to_port,to_starboard,lat,spare_1,destination,maneuver,msg_type,raim,dte,second,ais_version,speed,ship_type,draught,day,accuracy,radio,minute,mmsi,year,repeat,lon,shipname
,,15,17,,,,,,,2,,,41.340802,b'\x00\x00',,,4,True,,59,,,,,11,False,2250,59,2240002,2024,0,2.16463,
TurnRate.NO_TI_DEFAULT,511,,,,,296.8,,0,,,,,41.338727,b'\x00',,0,1,False,,0,,0.2,,,,False,49281,,224569880,,0,2.16637,
,,7,17,,,,,,,2,,,41.335082,b'\x00\x00',,,4,False,,59,,,,,11,False,114829,59,2240991,2024,0,2.141278,
TurnRate.NO_TI_DEFAULT,511,,,,,178.7,,15,,,,,41.346295,b'\x00',,0,1,False,,59,,0.0,,,,True,32796,,225394000,,0,2.152157,
,,15,18,,,,,,,2,,,41.417327,b'\x80\x00',,,4,True,,0,,,,,11,False,114811,0,2241128,2024,0,2.11417,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.340577,b'\x00',,0,1,True,,0,,0.0,,,,True,25600,,224304570,,0,2.165323,
-2.0,279,,,,,280.9,,0,,,,,41.267927,b'\x00',,0,1,False,,59,,11.0,,,,True,82046,,613013405,,0,2.231838,
0.0,226,,,,,315.0,,15,,,,,41.342947,b'\x00',,0,1,False,,0,,0.0,,,,True,2291,,225989401,,0,2.158563,
0.0,260,,,,,259.8,,0,,,,,41.274443,b'\x00',,0,1,False,,1,,8.5,,,,True,82029,,636011280,,0,2.333808,
TurnRate.NO_TI_DEFAULT,511,,,,,0.0,,7,,,,,41.372972,b'\x00',,0,1,True,,2,,0.0,,,,True,82001,,224368920,,0,2.184945,
TurnRate.NO_TI_DEFAULT,511,,,,,259.7,,0,,,,,41.378773,b'\x00',,0,1,True,,3,,0.0,,,,False,2183,,224001990,,0,2.182603,
0.0,55,,,,,240.7,,0,,,,,41.347985,b'\x00',,0,1,False,,3,,0.0,,,,False,49251,,224327160,,0,2.16273,
TurnRate.NO_TI_DEFAULT,511,,,,,120.4,,7,,,,,41.37372,b'\x00',,0,1,True,,2,,0.0,,,,True,32877,,224066460,,0,2.184993,
0.0,27,,,,,360.0,,0,,,,,41.33559,b'\x00',,0,1,True,,3,,0.0,,,,True,49262,,224101930,,0,2.14497,
0.0,278,,,,,299.1,,0,,,,,41.300343,b'\x00',,0,1,False,,3,,2.6,,,,False,2239,,636020334,,0,2.4672,
,,6,8,9008598,46,,113,,C6FR6,2,10,10,,b'\x00',ES BCN,,5,,False,,2,,69,5.5,10,,,0,311085000,,0,,STAR LEGEND
0.0,36,,,,,38.3,,0,,,,,41.076333,b'\x00',,0,1,True,,3,,13.2,,,,True,2219,,636019446,,0,1.971387,
0.0,286,,,,,269.2,,5,,,,,41.375323,b'\x00',,0,3,True,,5,,0.1,,,,True,84394,,248283000,,0,2.185615,
